Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Hartley,Official,,1967,Texas,1, USA,L,2.1 kg,
Nazareth (b) **,Official,,1967,Texas,1, USA,L6,3.6 kg,65
Seminole (c),Official,,1967,Texas,1, USA,H4,1711 g,83
Kaffir (b) **,Official,,1966,Texas,1, USA,H4,3.5 kg,56
Kress (b),Official,,1966,Texas,1, USA,L4,2.6 kg,83
Pep,Official,,1966,Texas,1, USA,OC,591 g,
Wellman (d),Official,,1966,Texas,1, USA,H,1615 g,
Anton **,Official,,1965,Texas,1, USA,H4,41.8 kg,62
Del Rio,Official,,1965,Texas,1, USA,"Iron, IIF",3.6 kg,
Etter **,Official,,1965,Texas,1, USA,L5,450 kg,53
Hamilton (Texas),Official,,1965,Texas,1, USA,OC,2.7 kg,
Kaffir (a),Official,,1965,Texas,1, USA,L5,1875 g,
Kyle **,Official,,1965,Texas,1, USA,L6,7.78 kg,51
Lone Star **,Official,,1965,Texas,1, USA,H4,4.3 kg,51
Post **,Official,,1965,Texas,1, USA,L,2 kg,51
St. Lawrence **,Official,,1965,Texas,1, USA,LL6,2.6 kg,49
Seminole (b),Official,,1965,Texas,1, USA,H4,1184 g,83
Tierra Blanca **,Official,,1965,Texas,1, USA,Winonaite,860 g,56
Brownfield (1964) **,Official,,1964,Texas,1, USA,H5,4.1 kg,34
Claytonville **,Official,,1964,Texas,1, USA,L5,15.6 kg,49
Grassland,Official,,1964,Texas,1, USA,L4,4.4 kg,
Loop (b),Official,,1964,Texas,1, USA,H,1600 g,83
Loop (c),Official,,1964,Texas,1, USA,OC,861 g,83
Plains **,Official,,1964,Texas,1, USA,H5,34.3 kg,49
Wellman (b),Official,,1964,Texas,1, USA,OC,343 g,
Wellman (c),Official,,1964,Texas,1, USA,H4,45 kg,
Crosbyton **,Official,,1963,Texas,1, USA,H,,30
Jonah **,Official,,1963,Texas,1, USA,H5,1304 g,77
Mulberry Draw **,Official,,1963,Texas,1, USA,L5,9.72 kg,66
Plainview (c),Official,,1963,Texas,1, USA,OC,631 g,
Talpa **,Official,,1963,Texas,1, USA,H6,13 kg,66
Waka **,Official,,1963,Texas,1, USA,H6,11.88 kg,66
Finney **,Official,,1962,Texas,1, USA,L5,10.7 kg,32
Loop,Official,,1962,Texas,1, USA,L6,5.6 kg,
Seagraves **,Official,,1962,Texas,1, USA,H4,13 kg,39
Bells **,Official,Y,1961,Texas,1, USA,C2-ung,375 g,28
Duncanville **,Official,,1961,Texas,1, USA,H,17.8 kg,30
Eunice,Official,,1961,Texas,1, USA,H5,2.3 kg,
Harleton **,Official,Y,1961,Texas,1, USA,L6,8.36 kg,22
Rhineland **,Official,,1961,Texas,1, USA,H5,6.24 kg,41
Seminole **,Official,,1961,Texas,1, USA,H4,43.9 kg,34
Sweetwater **,Official,,1961,Texas,1, USA,H5,1760 g,36
Brownfield (iron) **,Official,,1960,Texas,1, USA,"Iron, IID",1626 g,40
Camp Wood **,Official,,1960,Texas,1, USA,"Iron, IIIAB",148 kg,98
Venus,Official,,1960,Texas,1, USA,H4,1013 g,
Cee Vee **,Official,,1959,Texas,1, USA,H5,3.6 kg,40
Temple **,Official,,1959,Texas,1, USA,L6,5 kg,30
Calliham **,Official,,1958,Texas,1, USA,L6,40 kg,30
Canyon **,Official,,1957,Texas,1, USA,H?,860 g,37
Forestburg (a) **,Official,,1957,Texas,1, USA,L4,26.1 kg,81
Forestburg (b) **,Official,,1957,Texas,1, USA,L5,26.6 kg,81
Yorktown (Texas),Official,,1957,Texas,1, USA,H5,3.5 kg,
Comanche (stone),Official,,1956,Texas,1, USA,L5,2.4 kg,
Dumas (a) **,Official,,1956,Texas,1, USA,H5,46.05 kg,8
La Villa **,Official,,1956,Texas,1, USA,H4,19.8 kg,5
Edmonson (a) **,Official,,1955,Texas,1, USA,L6,12 kg,61
Landreth Draw **,Official,,1955,Texas,1, USA,H5,,84
Wellington **,Official,,1955,Texas,1, USA,H5,13.4 kg,44
Flagg **,Official,,1954,Texas,1, USA,L5,7 kg,66
Umbarger **,Official,,1954,Texas,1, USA,L6,13 kg,60
Fort Stockton,Official,,1952,Texas,1, USA,Iron,4.76 kg,
Kress (a) **,Official,,1951,Texas,1, USA,L6,12.5 kg,51
Richland **,Official,,1951,Texas,1, USA,"Iron, IIAB",50.6 kg,8
Barwise **,Official,,1950,Texas,1, USA,H5,10.4 kg,40
