symbol,date,price
AAPL,Jan-04,11.28
AAPL,Feb-04,11.96
AAPL,Mar-04,13.52
AAPL,Apr-04,12.89
AAPL,May-04,14.03
AAPL,Jun-04,16.27
AAPL,Jul-04,16.17
AAPL,Aug-04,17.25
AAPL,Sep-04,19.38
AAPL,Oct-04,26.2
AAPL,Nov-04,33.53
AAPL,Dec-04,32.2
AAPL,Jan-05,38.45
AAPL,Feb-05,44.86
AAPL,Mar-05,41.67
AAPL,Apr-05,36.06
AAPL,May-05,39.76
AAPL,Jun-05,36.81
AAPL,Jul-05,42.65
AAPL,Aug-05,46.89
AAPL,Sep-05,53.61
AAPL,Oct-05,57.59
AAPL,Nov-05,67.82
AAPL,Dec-05,71.89
AAPL,Jan-06,75.51
AAPL,Feb-06,68.49
AAPL,Mar-06,62.72
AAPL,Apr-06,70.39
AAPL,May-06,59.77
AAPL,Jun-06,57.27
AAPL,Jul-06,67.96
AAPL,Aug-06,67.85
AAPL,Sep-06,76.98
AAPL,Oct-06,81.08
AAPL,Nov-06,91.66
AAPL,Dec-06,84.84
AAPL,Jan-07,85.73
AAPL,Feb-07,84.61
AAPL,Mar-07,92.91
AAPL,Apr-07,99.8
AAPL,May-07,121.19
AAPL,Jun-07,122.04
AAPL,Jul-07,131.76
AAPL,Aug-07,138.48
AAPL,Sep-07,153.47
AAPL,Oct-07,189.95
AAPL,Nov-07,182.22
AAPL,Dec-07,198.08
AAPL,Jan-08,135.36
AAPL,Feb-08,125.02
AAPL,Mar-08,143.5
AAPL,Apr-08,173.95
AAPL,May-08,188.75
AAPL,Jun-08,167.44
AAPL,Jul-08,158.95
AAPL,Aug-08,169.53
AAPL,Sep-08,113.66
AAPL,Oct-08,107.59
AAPL,Nov-08,92.67
AAPL,Dec-08,85.35
AAPL,Jan-09,90.13
AAPL,Feb-09,89.31
AAPL,Mar-09,105.12
AAPL,Apr-09,125.83
AAPL,May-09,135.81
AAPL,Jun-09,142.43
AAPL,Jul-09,163.39
AAPL,Aug-09,168.21
AAPL,Sep-09,185.35
AAPL,Oct-09,188.5
AAPL,Nov-09,199.91
AAPL,Dec-09,210.73
AAPL,Jan-10,192.06
AAPL,Feb-10,204.62
AAPL,Mar-10,223.02
